t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79616,NIFTY24APR25C24250,2,75,0.05,69.45,37.25,50.60,1745209404,60.65,76.05,47.95,61.98,9669000,1232850,409950,69.05,69.20,375,150,2025-04-21 09:53:24.042
tf,NFO,79616,,,,,68.85,36.07,,1745209404,,,,,,,,,,,,2025-04-21 09:53:24.481
tf,NFO,79616,,,,,68.65,35.67,,1745209405,,,,,9672075,,,68.70,68.85,450,975,2025-04-21 09:53:25.393
tf,NFO,79616,,,,,69.00,36.36,,1745209405,,,,,,,,,,,,2025-04-21 09:53:25.491
tf,NFO,79616,,,,,68.40,35.18,,1745209406,,,,,,,,,,,,2025-04-21 09:53:26.680
tf,NFO,79616,,,,,68.70,35.77,,1745209407,,,,61.99,9676500,,,68.60,68.75,750,75,2025-04-21 09:53:27.232
tf,NFO,79616,,,,,68.55,35.47,,1745209407,,,,,,,,,,,,2025-04-21 09:53:27.484
tf,NFO,79616,,,,,68.10,34.58,,1745209408,,,,,,,,,,,,2025-04-21 09:53:28.489
tf,NFO,79616,,,,,68.00,34.39,,1745209409,,,,,9685875,,,67.80,68.00,1425,1275,2025-04-21 09:53:28.863
tf,NFO,79616,,,,,68.30,34.98,,1745209410,,,,62.00,9690825,,,68.45,68.55,,75,2025-04-21 09:53:30.404
tf,NFO,79616,,,,,68.55,35.47,,1745209410,,,,,,,,,,,,2025-04-21 09:53:30.485
tf,NFO,79616,,,,,68.85,36.07,,1745209412,,,,,9692775,,,68.60,68.75,525,150,2025-04-21 09:53:32.203
tf,NFO,79616,,,,,68.30,34.98,,1745209412,,,,,,,,,,,,2025-04-21 09:53:32.565
tf,NFO,79616,,,,,68.15,34.68,,1745209413,,,,,,,,,,,,2025-04-21 09:53:33.563
tf,NFO,79616,,,,,68.10,34.58,,1745209414,,,,,9694425,,,67.90,68.10,1125,1650,2025-04-21 09:53:33.810
tf,NFO,79616,,,,,68.90,36.17,,1745209414,,,,,,,,,,,,2025-04-21 09:53:34.490
tf,NFO,79616,,,,,68.30,34.98,,1745209415,,,,,9696450,,,68.10,68.35,2700,1050,2025-04-21 09:53:35.412
tf,NFO,79616,,,,,68.50,35.38,,1745209416,,,,,,,,,,,,2025-04-21 09:53:36.491
tf,NFO,79616,,,,,68.60,35.57,,1745209417,,,,,9698700,,,68.45,68.60,75,1350,2025-04-21 09:53:37.211
tf,NFO,79616,,,,,68.70,35.77,,1745209417,,,,,,,,,,,,2025-04-21 09:53:37.507
tf,NFO,79616,,,,,68.65,35.67,,1745209418,,,,,,,,,,,,2025-04-21 09:53:38.497
tf,NFO,79616,,,,,69.10,36.56,,1745209419,,,,,9702300,,,68.80,69.00,1800,1425,2025-04-21 09:53:38.838
tf,NFO,79616,,,,,69.00,36.36,,1745209419,,,,,,,,,,,,2025-04-21 09:53:39.541
tf,NFO,79616,,,,,69.30,36.96,,1745209420,,,,62.01,9706350,,,69.40,69.60,1425,1350,2025-04-21 09:53:40.564
tf,NFO,79616,,,,,69.40,37.15,,1745209420,,,,,,,,,,,,2025-04-21 09:53:40.568
tf,NFO,79616,,,,,69.75,37.85,,1745209421,,,,,,,,,,,,2025-04-21 09:53:41.500
tf,NFO,79616,,,,,69.30,36.96,,1745209422,,,,,9709725,,,69.05,69.25,975,150,2025-04-21 09:53:42.219
tf,NFO,79616,,,,,69.25,36.86,,1745209422,,,,,,,,,,,,2025-04-21 09:53:42.556
tf,NFO,79616,,,,,68.45,35.28,,1745209423,,,,,,,,,,,,2025-04-21 09:53:43.509
tf,NFO,79616,,,,,68.30,34.98,,1745209424,,,,,9717825,,,68.30,68.45,75,75,2025-04-21 09:53:43.832
tf,NFO,79616,,,,,69.10,36.56,,1745209424,,,,,,,,,,,,2025-04-21 09:53:44.497
tf,NFO,79616,,,,,68.60,35.57,,1745209425,,,,62.02,9721425,,,68.50,68.65,,600,2025-04-21 09:53:45.455
tf,NFO,79616,,,,,68.50,35.38,,1745209425,,,,,,,,,,,,2025-04-21 09:53:45.495
tf,NFO,79616,,,,,68.45,35.28,,1745209427,,,,,9726900,,,68.75,68.90,375,225,2025-04-21 09:53:47.230
tf,NFO,79616,,,,,68.95,36.26,,1745209427,,,,,,,,,,,,2025-04-21 09:53:47.508
tf,NFO,79616,,,,,68.80,35.97,,1745209428,,,,,,,,,,,,2025-04-21 09:53:48.501
tf,NFO,79616,,,,,68.65,35.67,,1745209429,,,,,9728475,,,68.60,68.75,750,75,2025-04-21 09:53:48.837
tf,NFO,79616,,,,,68.95,36.26,,1745209429,,,,,,,,,,,,2025-04-21 09:53:49.499
tf,NFO,79616,,,,,68.90,36.17,,1745209430,,,,,9729375,,,68.35,68.55,600,1275,2025-04-21 09:53:50.436
tf,NFO,79616,,,,,68.80,35.97,,1745209431,,,,,,,,,,,,2025-04-21 09:53:51.507
tf,NFO,79616,,,,,69.20,36.76,,1745209432,,,,,9732375,,,69.10,69.25,300,375,2025-04-21 09:53:52.041
tf,NFO,79616,,,,,69.10,36.56,,1745209432,,,,,,,,,,,,2025-04-21 09:53:52.573
tf,NFO,79616,,,,,68.90,36.17,,1745209433,,,,,,,,,,,,2025-04-21 09:53:53.499
tf,NFO,79616,,,,,68.55,35.47,,1745209434,,,,62.03,9734025,,,68.55,68.70,900,225,2025-04-21 09:53:53.865
tf,NFO,79616,,,,,68.70,35.77,,1745209434,,,,,,,,,,,,2025-04-21 09:53:54.610
tf,NFO,79616,,,,,68.40,35.18,,1745209435,,,,,9735525,,,68.15,68.30,,900,2025-04-21 09:53:55.461
tf,NFO,79616,,,,,68.30,34.98,,1745209435,,,,,,,,,,,,2025-04-21 09:53:55.501
tf,NFO,79616,,,,,68.70,35.77,,1745209436,,,,,,,,,,,,2025-04-21 09:53:56.528
tf,NFO,79616,,,,,68.50,35.38,,1745209437,,,,,9739200,,,68.45,68.65,375,1725,2025-04-21 09:53:57.050
tf,NFO,79616,,,,,67.95,34.29,,1745209437,,,,,,,,,,,,2025-04-21 09:53:57.510
tf,NFO,79616,,,,,68.35,35.08,,1745209438,,,,,,,,,,,,2025-04-21 09:53:58.505
tf,NFO,79616,,,,,,,,1745209439,,,,,9744525,,,68.35,68.55,1125,1050,2025-04-21 09:53:58.884
tf,NFO,79616,,,,,68.70,35.77,,1745209439,,,,,,,,,,,,2025-04-21 09:53:59.608
tf,NFO,79616,,,,,68.60,35.57,,1745209440,,,,,9746925,,,68.45,68.65,,750,2025-04-21 09:54:00.453
tf,NFO,79616,,,,,68.55,35.47,,1745209442,,,,62.04,9750075,,,,68.55,150,225,2025-04-21 09:54:02.064
tf,NFO,79616,,,,,68.85,36.07,,1745209442,,,,,,,,,,,,2025-04-21 09:54:02.516
tf,NFO,79616,,,,,68.55,35.47,,1745209444,,,,,9753900,,,68.25,68.45,900,900,2025-04-21 09:54:03.860
tf,NFO,79616,,,,,68.15,34.68,,1745209444,,,,,,,,,,,,2025-04-21 09:54:04.524
tf,NFO,79616,,,,,68.35,35.08,,1745209445,,,,,9754875,,,68.30,68.50,1425,1125,2025-04-21 09:54:05.556
tf,NFO,79616,,,,,68.05,34.49,,1745209446,,,,,,,,,,,,2025-04-21 09:54:06.585
tf,NFO,79616,,,,,68.10,34.58,,1745209447,,,,,9759150,,,68.10,68.25,375,900,2025-04-21 09:54:07.072
tf,NFO,79616,,,,,68.75,35.87,,1745209447,,,,,,,,,,,,2025-04-21 09:54:07.507
tf,NFO,79616,,,,,68.20,34.78,,1745209448,,,,,,,,,,,,2025-04-21 09:54:08.513
tf,NFO,79616,,,,,68.40,35.18,,1745209449,,,,,9762525,,,68.15,68.35,675,,2025-04-21 09:54:08.867
tf,NFO,79616,,,,,68.50,35.38,,1745209449,,,,,,,,,,,,2025-04-21 09:54:09.526
tf,NFO,79616,,,,,67.90,34.19,,1745209450,,,,62.05,9765975,,,67.90,68.10,525,1650,2025-04-21 09:54:10.470
tf,NFO,79616,,,,,68.10,34.58,,1745209451,,,,,,,,,,,,2025-04-21 09:54:11.515
tf,NFO,79616,,,,,68.20,34.78,,1745209452,,,,,9766950,,,68.10,68.30,1350,525,2025-04-21 09:54:12.076
tf,NFO,79616,,,,,67.85,34.09,,1745209453,,,,,,,,,,,,2025-04-21 09:54:13.562
tf,NFO,79616,,,,,68.40,35.18,,1745209454,,,,,9771225,,,67.90,68.10,525,1425,2025-04-21 09:54:13.894
tf,NFO,79616,,,,,68.05,34.49,,1745209454,,,,,,,,,,,,2025-04-21 09:54:14.516
tf,NFO,79616,,,,,,,,1745209455,,,,,9771975,,,67.95,,150,1575,2025-04-21 09:54:15.475
tf,NFO,79616,,,,,68.75,35.87,,1745209456,,,,,,,,,,,,2025-04-21 09:54:16.570
tf,NFO,79616,,,,,68.65,35.67,,1745209457,,,,,9774450,,,68.50,68.65,975,225,2025-04-21 09:54:17.085
tf,NFO,79616,,,,,68.55,35.47,,1745209457,,,,,,,,,,,,2025-04-21 09:54:17.557
tf,NFO,79616,,,,,68.65,35.67,,1745209458,,,,,,,,,,,,2025-04-21 09:54:18.554
tf,NFO,79616,,,,,68.55,35.47,,1745209459,,,,,9775950,,,,68.70,1950,1875,2025-04-21 09:54:18.884
tf,NFO,79616,,,,,69.75,37.85,,1745209459,,,,,,,,,,,,2025-04-21 09:54:20.071
tf,NFO,79616,,,,,69.40,37.15,,1745209460,,,,62.06,9782925,,,69.40,69.60,1350,1425,2025-04-21 09:54:20.582
tf,NFO,79616,,,,,69.60,37.55,,1745209460,,,,,,,,,,,,2025-04-21 09:54:20.587
tf,NFO,79616,,,,,69.30,36.96,,1745209461,,,,,,,,,,,,2025-04-21 09:54:21.566
tf,NFO,79616,,,,,69.40,37.15,,1745209462,,,,,9786900,,,69.20,69.40,750,1800,2025-04-21 09:54:22.188
tf,NFO,79616,,,,,69.45,37.25,,1745209462,,,,,,,,,,,,2025-04-21 09:54:22.636
tf,NFO,79616,,,,,69.10,36.56,,1745209463,,,,,,,,,,,,2025-04-21 09:54:23.558
