t,e,tk,ts,pp,ls,ti,lp,pc,c,ft,o,h,l,ap,v,oi,poi,bp1,sp1,bq1,sq1,received_timestamp
tk,NFO,79635,NIFTY24APR25P24350,2,75,0.05,394.90,-26.05,534.00,1745209403,454.15,507.45,376.10,439.04,38775,21750,13050,391.85,394.15,300,150,2025-04-21 09:53:24.050
tf,NFO,79635,,,,,,,,1745209404,,,,,,,,392.85,395.50,450,,2025-04-21 09:53:24.405
tf,NFO,79635,,,,,,,,1745209406,,,,,,,,395.35,397.95,225,75,2025-04-21 09:53:26.046
tf,NFO,79635,,,,,,,,1745209408,,,,,,,,396.05,398.70,450,,2025-04-21 09:53:27.829
tf,NFO,79635,,,,,,,,1745209409,,,,,,,,397.35,399.60,150,300,2025-04-21 09:53:29.579
tf,NFO,79635,,,,,,,,1745209411,,,,,,,,396.30,398.95,225,150,2025-04-21 09:53:31.016
tf,NFO,79635,,,,,,,,1745209413,,,,,,,,397.05,399.55,375,,2025-04-21 09:53:32.816
tf,NFO,79635,,,,,,,,1745209414,,,,,,,,396.25,399.10,150,225,2025-04-21 09:53:34.422
tf,NFO,79635,,,,,,,,1745209416,,,,,,,,396.55,398.85,,150,2025-04-21 09:53:36.027
tf,NFO,79635,,,,,,,,1745209417,,,,,,,,395.90,398.15,225,,2025-04-21 09:53:37.626
tf,NFO,79635,,,,,,,,1745209419,,,,,,,,394.80,397.10,,,2025-04-21 09:53:39.535
tf,NFO,79635,,,,,,,,1745209421,,,,,,,,391.80,394.60,150,225,2025-04-21 09:53:41.030
tf,NFO,79635,,,,,,,,1745209423,,,,,,,,392.80,394.80,,75,2025-04-21 09:53:42.643
tf,NFO,79635,,,,,,,,1745209424,,,,,,,,393.75,396.35,,150,2025-04-21 09:53:44.435
tf,NFO,79635,,,,,,,,1745209426,,,,,,,,395.15,397.70,,,2025-04-21 09:53:46.088
tf,NFO,79635,,,,,,,,1745209428,,,,,,,,394.25,396.65,,,2025-04-21 09:53:47.641
tf,NFO,79635,,,,,,,,1745209429,,,,,,,,393.90,396.15,225,,2025-04-21 09:53:49.448
tf,NFO,79635,,,,,,,,1745209431,,,,,,,,394.40,396.75,,225,2025-04-21 09:53:51.048
tf,NFO,79635,,,,,,,,1745209433,,,,,,,,394.00,396.35,,150,2025-04-21 09:53:52.650
tf,NFO,79635,,,,,,,,1745209434,,,,,,,,394.30,396.55,300,225,2025-04-21 09:53:54.510
tf,NFO,79635,,,,,,,,1745209436,,,,,,,,393.65,396.20,150,,2025-04-21 09:53:56.054
tf,NFO,79635,,,,,,,,1745209438,,,,,,,,395.45,398.55,225,150,2025-04-21 09:53:57.657
tf,NFO,79635,,,,,,,,1745209439,,,,,,,,393.25,395.35,300,,2025-04-21 09:53:59.599
tf,NFO,79635,,,,,,,,1745209441,,,,,,,,394.55,395.85,150,225,2025-04-21 09:54:01.059
tf,NFO,79635,,,,,,,,1745209443,,,,,,,,392.85,394.20,375,300,2025-04-21 09:54:02.663
tf,NFO,79635,,,,,,,,1745209444,,,,,,,,393.75,395.05,225,375,2025-04-21 09:54:04.465
tf,NFO,79635,,,,,,,,1745209446,,,,,,,,396.15,397.50,450,450,2025-04-21 09:54:06.070
tf,NFO,79635,,,,,,,,1745209448,,,,,,,,393.40,394.65,75,,2025-04-21 09:54:07.676
tf,NFO,79635,,,,,,,,1745209449,,,,,,,,393.90,395.25,225,225,2025-04-21 09:54:09.472
tf,NFO,79635,,,,,,,,1745209451,,,,,,,,394.80,396.15,450,600,2025-04-21 09:54:11.079
tf,NFO,79635,,,,,,,,1745209453,,,,,,,,395.10,396.40,225,75,2025-04-21 09:54:12.926
tf,NFO,79635,,,,,,,,1745209454,,,,,,,,395.90,397.20,,225,2025-04-21 09:54:14.488
tf,NFO,79635,,,,,,,,1745209456,,,,,,,,393.30,394.80,75,450,2025-04-21 09:54:16.129
tf,NFO,79635,,,,,,,,1745209458,,,,,,,,393.05,394.40,225,75,2025-04-21 09:54:17.734
tf,NFO,79635,,,,,,,,1745209459,,,,,,,,391.30,392.50,75,225,2025-04-21 09:54:19.374
tf,NFO,79635,,,,,,,,1745209461,,,,,,,,390.10,391.35,150,150,2025-04-21 09:54:21.134
tf,NFO,79635,,,,,390.90,-26.80,,1745209461,,,,,,,,,,,,2025-04-21 09:54:21.381
tf,NFO,79635,,,,,,,,1745209463,,,,438.86,38925,,,390.15,391.05,,,2025-04-21 09:54:22.710
tf,NFO,79635,,,,,,,,1745209464,,,,,,,,388.85,390.20,225,450,2025-04-21 09:54:24.297
tf,NFO,79635,,,,,,,,1745209466,,,,,,,,389.80,390.70,150,375,2025-04-21 09:54:26.199
tf,NFO,79635,,,,,,,,1745209468,,,,,,,,390.05,391.30,450,150,2025-04-21 09:54:27.704
tf,NFO,79635,,,,,,,,1745209469,,,,,,,,388.70,389.95,375,,2025-04-21 09:54:29.306
tf,NFO,79635,,,,,,,,1745209471,,,,,,,,389.15,391.00,225,,2025-04-21 09:54:31.104
tf,NFO,79635,,,,,,,,1745209473,,,,,,,,390.10,391.40,150,75,2025-04-21 09:54:32.810
tf,NFO,79635,,,,,,,,1745209474,,,,,,,,388.95,390.25,,150,2025-04-21 09:54:34.388
tf,NFO,79635,,,,,,,,1745209476,,,,,,,,389.80,391.00,,,2025-04-21 09:54:36.114
tf,NFO,79635,,,,,,,,1745209477,,,,,,,,388.85,390.10,,,2025-04-21 09:54:37.519
tf,NFO,79635,,,,,,,,1745209479,,,,438.77,39000,,,,389.95,75,,2025-04-21 09:54:39.346
tf,NFO,79635,,,,,,,,1745209481,,,,,,,,387.65,388.95,150,375,2025-04-21 09:54:40.924
tf,NFO,79635,,,,,,,,1745209482,,,,,,,,387.05,388.35,,600,2025-04-21 09:54:42.521
tf,NFO,79635,,,,,,,,1745209484,,,,,,,,388.05,389.20,,225,2025-04-21 09:54:44.325
tf,NFO,79635,,,,,,,,1745209486,,,,,,,,387.35,388.50,,375,2025-04-21 09:54:45.924
tf,NFO,79635,,,,,,,,1745209487,,,,,,,,387.65,388.90,,150,2025-04-21 09:54:47.578
